Signature.Subs.01	Signature.Subs.02	Signature.Subs.05	Signature.Subs.08	Signature.Subs.09	Signature.Subs.13	Signature.Subs.18	MM1	mutations
PD26432_NA	0.0485368702055346	0	0.286282387123852	0.0793359069961114	0.585844835674502	0	0	0	415
PD26435_5	0.0222781232122319	0.0205785570182024	0.536351056540166	0.28628030779726	0.134511955432139	0	0	0	4638
PD26435_NA	0.0214754311757106	0.0418683723347987	0.523770914421953	0.315748815343584	0.0971364667239539	0	0	0	583
PD26435_3	0.00530228690481331	0	0.589142219470784	0.405555493624402	0	0	0	0	615
PD26435_2	0.00653288884561889	0.0327291641342066	0.429208831040594	0.503011396852831	0	0.0285177191267497	0	0	108
PD26435_1	0.00821045800789203	0	0.633219184164555	0.318261623191439	0	0.0403087346361145	0	0	1613
MMRC006BBM_2	0.0162859240955354	0.29861143909192	0.517943230932059	0	0	0.167159405880485	0	0	14896
MMRC00GABM_2	0.05904133472655	0.0721758809904665	0.473503035768959	0.144610480100509	0.250669268413515	0	0	0	3487
MMRC00GABM_1	0.0209285524519256	0.0925283436598269	0.503440063823769	0.140442594173325	0.242660445891153	0	0	0	1073
MMRC00GIBM_2	0.0414454607794024	0.0273373618814293	0.465285556026195	0.293700673323273	0.1722309479897	0	0	0	4900
MMRC00GIBM_1	0.0244414546901276	0.0434289102323333	0.331439593780825	0.358770245977108	0.241919795319605	0	0	0	311
MMRC01LGBM_2	0.046280248373115	0	0.495324137007381	0.182591338953697	0.275804275665808	0	0	0	6067
MMRC01Q1BM_2	0.0408804496981746	0.0342896425192907	0.439464121244341	0.17548358823733	0.309882198300863	0	0	0	4834
MMRC01YHBM_2	0.0915881964773096	0.0353563469842375	0.533330262196255	0	0.229130343702419	0	0.110594850639779	0	2766
MMRC023ZBM_2	0.0322470622269637	0.0471912272361359	0.321956851355624	0.128601497494823	0.202748769543157	0	0	0.267254592143296	8102
MMRC023ZBM_1	0.00957837295424945	0.0356724132614155	0.467528505974306	0.239123323943611	0.248097383866419	0	0	0	1151
MMRC0244BM_1	0.00000943056845069105	0	0.551585903658091	0	0.448404665773458	0	0	0	334
MMRC0244BM_2	0.0590425835733229	0	0.472061402970003	0	0.468896013456674	0	0	0	4963
MMRC02G7BM_3	0.0203512967795002	0.128034025641866	0.447607798565236	0.231104871847414	0.172902007165984	0	0	0	7283
MMRC02G7BM_1	0.0313135011397155	0.0853962752601386	0.403585027983329	0.263128588102403	0.216576607514414	0	0	0	185
MMRC02GIBM_3	0.0493706710345103	0.0409795193774965	0.424296689857923	0.112725573446191	0.37262754628388	0	0	0	3726
MMRC02GIBM_1	0.00102359988572402	0.06595605926177	0.396952065163698	0.14870502465662	0.387363251032188	0	0	0	449
MMRC02GIBM_2	0.000259454311910644	0.0513126987691327	0.611981629307592	0	0.336446217611365	0	0	0	209
V0D56U_2	0.024532401757561	0.0734246146769905	0.534203508160057	0.141032676307281	0.22680679909811	0	0	0	4590
V0D56W_2	0.0298458319388433	0.104450309691865	0.427637445241812	0.164574335971143	0.231023430775785	0.0424686463805528	0	0	4615
V0D56W_1	0.0154063690911135	0.0937771537626475	0.44079053177669	0.2819257425634	0.168100202806149	0	0	0	528
V0D56Z_2	0.0798609787217998	0.0370013749724976	0.384588292794994	0.141179777894423	0.357369575616286	0	0	0	4043
V0D56Z_1	0.0435996116229392	0.0378575238621585	0.201574451569241	0.249488576182632	0.467479836763029	0	0	0	106
V0D577_3	0.037344991257344	0.0386895294111625	0.477727879787423	0.187515866405516	0.220986536749796	0.0377351963887584	0	0	3747
V0D577_1	0.0118766575502592	0.083839406644769	0.358826495610566	0.311470920001007	0.168471215598954	0.065515304594445	0	0	596
V0D577_2	0.00116568301734586	0.123407174207128	0.535522473979408	0.252256012151018	0	0.0876486566451001	0	0	739
V0D57C_3	0.0271071057704195	0.0266362605355078	0.347863114996797	0.253806000258483	0.166047920628251	0	0	0.178539597810542	5073
V0D57C_2	0.0000000115922851151071	0	0.338178861321416	0.323514188874232	0.221622139896048	0	0	0.116684798316018	289
V0D57H_2	0.0184056725847573	0.0589912302988327	0.493372326302012	0.429230770814398	0	0	0	0	9914
V0D57H_1	0.000129898889139399	0.0256693944911811	0.308878244564145	0.400713551947114	0.264608910108421	0	0	0	702
V0D57M_1	0.0543736590291797	0.0688024500243032	0.488343090602523	0.137980158851738	0.250500641492256	0	0	0	6380
V0D583_2	0.0317138026011881	0.0273638554080393	0.503508694469257	0.225467533547784	0.211946113973732	0	0	0	4232
V0D583_1	0.0251272621410965	0.0835048911209972	0.38024242671224	0.248915351530811	0.262210068494855	0	0	0	126
V0D58G_3	0.0411277382984392	0.0855821250375401	0.432247024471453	0.248578354126763	0.192464758065804	0	0	0	3955
V0D58G_2	0.0198336596411445	0.106706990859003	0.42815808184299	0.247511983290239	0.197789284366624	0	0	0	1468
V0D58I_2	0.0351315335832486	0	0.423392727011308	0.251791290215291	0.289684449190152	0	0	0	3418
V0D58I_1	0.00804084472709018	0	0.404710255900967	0.381995103037144	0.205253796334799	0	0	0	1713
V0D58I_3	0.0447157778061676	0	0.391767497835646	0.23541469577708	0.328102028581106	0	0	0	837
V0D58T_2	0.0466324280085937	0.0714121474846426	0.320638779526318	0	0.265027613484943	0	0.171401504855043	0.124887526640459	6165
